output_id,link,output_name,project,type,metric_type,count,retrieved_date,status
o046,https://geniza.princeton.edu/en/,Princeton Geniza Website,🌐Geniza,Website,Active Users,8000,2024-06-30,ok
o045,https://shakespeareandco.princeton.edu/,Shakespeare and Company Website,🌐Shakespeare and Company,Website,Active Users,5800,2024-06-30,ok
o041,https://derridas-margins.princeton.edu/,Derrida's Margins website,🌐Derrida’s Margins,Website,Active Users,4400,2024-06-30,ok
o034,https://prosody.princeton.edu/,Princeton Prosody Archive Website,🌐Princeton Prosody Archive,Website,Active Users,1900,2024-06-30,ok
o021,https://doi.org/10.34770/kf6c-b079,Shakespeare and Company Project Datasets: v2.0,🌐Shakespeare and Company,Dataset,Citation Count,0,2024-06-30,openalex
o024,https://doi.org/10.34770/dtqa-2981,"Shakespeare and Company Project Dataset: Lending Library Members, Books, Events: v1.0",🌐Shakespeare and Company,Dataset,Citation Count,1,2024-06-30,openalex
o025,https://doi.org/10.34770/8c2s-a169,Shakespeare and Company Project Dataset: Lending Library Members: v1.0,🌐Shakespeare and Company,Dataset,Citation Count,3,2024-06-30,openalex
o040,https://doi.org/10.5281/zenodo.11068867,undate,R&D,Software Release,Citation Count,0,2024-06-30,openalex
o044,https://doi.org/10.5281/zenodo.4081714,CDH Project Charter – Princeton Geniza Project 2020-2021,🌐Geniza,Grey Literature,Citation Count,2,2024-06-30,openalex
o048,https://doi.org/10.22148/001c.116905,The World of Shakespeare and Company: An Introduction,🌐Shakespeare and Company,Publication,Citation Count,0,2024-06-30,openalex
o049,https://doi.org/10.22148/001c.116926,"Missing Data, Speculative Reading",🌐Shakespeare and Company,Publication,Citation Count,2,2024-06-30,openalex
o050,https://doi.org/10.22148/001c.32551,Shakespeare and Company Project Data Sets,🌐Shakespeare and Company,Publication,Citation Count,4,2024-06-30,openalex
o051,https://doi.org/10.21428/51bee781.13f8c789,Shakespeare and Company Project,🌐Shakespeare and Company,Publication,Citation Count,3,2024-06-30,openalex
o052,https://doi.org/10.5281/zenodo.15839055,Geniza Datasets,🌐Geniza,Dataset,Citation Count,0,2024-06-30,openalex
o061,https://doi.org/10.5281/zenodo.3713670,Data Beyond Vision,Internal Projects / PM and Process,Publication,Citation Count,1,2024-06-30,openalex
o067,https://doi.org/10.22148/001c.116915,A Counterfactual Canon,🌐Shakespeare and Company,Publication,Citation Count,1,2024-06-30,openalex
o068,https://doi.org/10.1162/comj_a_00518,Preparing the Digital Piano: Introducing bitKlavier,bitKlavier,Publication,Citation Count,4,2024-06-30,openalex
o070,https://doi.org/10.1162/comj_a_00519,Tuning Playfully: Composed and Adaptive Tunings in bitKlavier,bitKlavier,Publication,Citation Count,2,2024-06-30,openalex
o075,https://press.princeton.edu/books/paperback/9780691254678/poetrys-data,Poetry's Data,🌐Princeton Prosody Archive,Publication,Citation Count,0,2024-06-30,openalex
o105,https://doi.org/10.5281/zenodo.6567481,Mapping the Latent Spaces of Culture,,Publication,Citation Count,3,2024-06-30,openalex
o106,https://doi.org/10.5281/zenodo.6567985,Are Large Language Models Our Limit Case?,,Publication,Citation Count,1,2024-06-30,openalex
o110,https://doi.org/10.5281/zenodo.5750679,"""Strangers in the Landscape"": On Research Development and Making Things for Making",,Publication,Citation Count,1,2024-06-30,openalex
