output_id,link,output_name,project,type,metric_type,count,retrieved_date,status
o063,https://doi.org/10.5281/zenodo.6909568,"""Princeton Ethiopian, Eritrean, and Egyptian Miracles of Mary (PEMM) Project Dataset""","""Princeton Ethiopian, Eritrean, and Egyptian Miracles of Mary (PEMM) Project""",Dataset,Views,2059,2026-08-11,ok
o034,https://prosody.princeton.edu/,Princeton Prosody Archive Website,🌐Princeton Prosody Archive,Website,Active Users,65000,2026-08-11,ok
o041,https://derridas-margins.princeton.edu/,Derrida's Margins website,🌐Derrida’s Margins,Website,Active Users,13000,2026-08-11,ok
o046,https://geniza.princeton.edu/en/,Princeton Geniza Website,🌐Geniza,Website,Active Users,898000,2026-08-11,ok
o045,https://shakespeareandco.princeton.edu/,Shakespeare and Company Website,🌐Shakespeare and Company,Website,Active Users,394000,2026-08-11,ok
o022,https://doi.org/10.34770/yw3y-ze12,Derrida's Margins web archive,🌐Derrida’s Margins,WebArchive,Views,88,2026-08-11,ok
o022,https://doi.org/10.34770/yw3y-ze12,Derrida's Margins web archive,🌐Derrida’s Margins,WebArchive,Downloads,9,2026-08-11,ok
o063,https://doi.org/10.5281/zenodo.6909568,"""Princeton Ethiopian, Eritrean, and Egyptian Miracles of Mary (PEMM) Project Dataset""","""Princeton Ethiopian, Eritrean, and Egyptian Miracles of Mary (PEMM) Project""",Dataset,Downloads,2735,2026-08-11,ok
o032,https://doi.org/10.5281/zenodo.3255052,Princeton Prosody Archive Dataset Generated from T. V. F. Brogan's Original Bibliography,🌐Princeton Prosody Archive,Dataset,Views,819,2026-08-11,ok
o032,https://doi.org/10.5281/zenodo.3255052,Princeton Prosody Archive Dataset Generated from T. V. F. Brogan's Original Bibliography,🌐Princeton Prosody Archive,Dataset,Downloads,401,2026-08-11,ok
,,,,,Views,616,2026-08-11,ok
o027,https://doi.org/10.34770/yj5r-0m59,Shakespeare and Company Project Dataset: Lending Library Books: v1.0,🌐Shakespeare and Company,Dataset,Views,80,2026-08-11,ok
o024,https://doi.org/10.34770/dtqa-2981,"""Shakespeare and Company Project Dataset: Lending Library Members, Books, Events: v1.0""",🌐Shakespeare and Company,Dataset,Views,69,2026-08-11,ok
o025,https://doi.org/10.34770/8c2s-a169,Shakespeare and Company Project Dataset: Lending Library Members: v1.0,🌐Shakespeare and Company,Dataset,Views,61,2026-08-11,ok
o026,https://doi.org/10.34770/nz90-ym25,Shakespeare and Company Project Dataset: Lending Library Events: v1.0,🌐Shakespeare and Company,Dataset,Views,29,2026-08-11,ok
o027,https://doi.org/10.34770/yj5r-0m59,Shakespeare and Company Project Dataset: Lending Library Books: v1.0,🌐Shakespeare and Company,Dataset,Downloads,29,2026-08-11,ok
o025,https://doi.org/10.34770/8c2s-a169,Shakespeare and Company Project Dataset: Lending Library Members: v1.0,🌐Shakespeare and Company,Dataset,Downloads,21,2026-08-11,ok
o026,https://doi.org/10.34770/nz90-ym25,Shakespeare and Company Project Dataset: Lending Library Events: v1.0,🌐Shakespeare and Company,Dataset,Downloads,11,2026-08-11,ok
o024,https://doi.org/10.34770/dtqa-2981,"""Shakespeare and Company Project Dataset: Lending Library Members, Books, Events: v1.0""",🌐Shakespeare and Company,Dataset,Downloads,12,2026-08-11,ok
,,,,,Views,14,2026-08-11,ok
,,,,,Downloads,24,2026-08-11,ok
o064,https://doi.org/10.5281/zenodo.3359177,CDH Project Charter – Princeton Ethiopian Miracles of Mary 2019-20,"""Princeton Ethiopian, Eritrean, and Egyptian Miracles of Mary (PEMM) Project""",Grey Literature,Views,1587,2026-08-11,ok
o064,https://doi.org/10.5281/zenodo.3359177,CDH Project Charter – Princeton Ethiopian Miracles of Mary 2019-20,"""Princeton Ethiopian, Eritrean, and Egyptian Miracles of Mary (PEMM) Project""",Grey Literature,Downloads,994,2026-08-11,ok
o066,https://doi.org/10.5281/zenodo.3359171,CDH Project Charter — Princeton Prosody Archive 2017-18,🌐Princeton Prosody Archive,Grey Literature,Views,839,2026-08-11,ok
o044,https://doi.org/10.5281/zenodo.4081714,CDH Project Charter – Princeton Geniza Project 2020-2021,🌐Geniza,Grey Literature,Views,860,2026-08-11,ok
o039,https://doi.org/10.5281/zenodo.3359144,CDH Project Charter – Derrida's Margins 2016-17,🌐Derrida’s Margins,Grey Literature,Views,709,2026-08-11,ok
o044,https://doi.org/10.5281/zenodo.4081714,CDH Project Charter – Princeton Geniza Project 2020-2021,🌐Geniza,Grey Literature,Downloads,703,2026-08-11,ok
o065,https://doi.org/10.5281/zenodo.3359175,CDH Project Charter — bitKlavier 2017-18,bitKlavier,Grey Literature,Views,515,2026-08-11,ok
o066,https://doi.org/10.5281/zenodo.3359171,CDH Project Charter — Princeton Prosody Archive 2017-18,🌐Princeton Prosody Archive,Grey Literature,Downloads,476,2026-08-11,ok
o039,https://doi.org/10.5281/zenodo.3359144,CDH Project Charter – Derrida's Margins 2016-17,🌐Derrida’s Margins,Grey Literature,Downloads,412,2026-08-11,ok
o009,https://doi.org/10.5281/zenodo.8087661,Simulating Risk Project Charter,Simulating Risks,Grey Literature,Views,454,2026-08-11,ok
o042,https://doi.org/10.5281/zenodo.3359202,"""""""Built by CDH"""" Long Term Software Agreement""",Internal Projects / PM and Process,Grey Literature,Views,329,2026-08-11,ok
o009,https://doi.org/10.5281/zenodo.8087661,Simulating Risk Project Charter,Simulating Risks,Grey Literature,Downloads,345,2026-08-11,ok
o065,https://doi.org/10.5281/zenodo.3359175,CDH Project Charter — bitKlavier 2017-18,bitKlavier,Grey Literature,Downloads,261,2026-08-11,ok
o043,https://doi.org/10.5281/zenodo.7841822,"""CDH Project Charter – Princeton Geniza Project Year 2, 2021-2022""",🌐Geniza,Grey Literature,Views,288,2026-08-11,ok
o042,https://doi.org/10.5281/zenodo.3359202,"""""""Built by CDH"""" Long Term Software Agreement""",Internal Projects / PM and Process,Grey Literature,Downloads,171,2026-08-11,ok
o043,https://doi.org/10.5281/zenodo.7841822,"""CDH Project Charter – Princeton Geniza Project Year 2, 2021-2022""",🌐Geniza,Grey Literature,Downloads,217,2026-08-11,ok
o001,https://doi.org/10.5281/zenodo.14861082,Citing Marx Project Charter,Marxism’s Marx,Grey Literature,Views,308,2026-08-11,ok
o001,https://doi.org/10.5281/zenodo.14861082,Citing Marx Project Charter,Marxism’s Marx,Grey Literature,Downloads,250,2026-08-11,ok
o071,https://doi.org/10.5281/zenodo.3277319,Documents to Data: the evolution of approaches to a library archive,🌐Shakespeare and Company,Presentation / Poster,Views,332,2026-08-11,ok
o071,https://doi.org/10.5281/zenodo.3277319,Documents to Data: the evolution of approaches to a library archive,🌐Shakespeare and Company,Presentation / Poster,Downloads,224,2026-08-11,ok
o056,https://doi.org/10.5281/zenodo.14516240,Theorizing risk attitudes and rationality using agent based modeling,Simulating Risks,Presentation / Poster,Views,215,2026-08-11,ok
o056,https://doi.org/10.5281/zenodo.14516240,Theorizing risk attitudes and rationality using agent based modeling,Simulating Risks,Presentation / Poster,Downloads,321,2026-08-11,ok
o036,https://doi.org/10.5281/zenodo.13850967,Beyond the Walled Gardens: Reinventing the Digital Research Landscape with the Princeton Prosody Archive,🌐Princeton Prosody Archive,Presentation / Poster,Views,261,2026-08-11,ok
o037,https://doi.org/10.5281/zenodo.12575879,Working around Walled Gardens: The Princeton Prosody Archive as Workflow,🌐Princeton Prosody Archive,Presentation / Poster,Views,230,2026-08-11,ok
o055,https://doi.org/10.5281/zenodo.14516760,Modeling Project Management through Charters,Internal Projects / PM and Process,Presentation / Poster,Downloads,559,2026-08-11,ok
o037,https://doi.org/10.5281/zenodo.12575879,Working around Walled Gardens: The Princeton Prosody Archive as Workflow,🌐Princeton Prosody Archive,Presentation / Poster,Downloads,208,2026-08-11,ok
o047,https://doi.org/10.5281/zenodo.14907039,Project Management 101,Internal Projects / PM and Process,Presentation / Poster,Downloads,582,2026-08-11,ok
o036,https://doi.org/10.5281/zenodo.13850967,Beyond the Walled Gardens: Reinventing the Digital Research Landscape with the Princeton Prosody Archive,🌐Princeton Prosody Archive,Presentation / Poster,Downloads,196,2026-08-11,ok
o047,https://doi.org/10.5281/zenodo.14907039,Project Management 101,Internal Projects / PM and Process,Presentation / Poster,Views,195,2026-08-11,ok
o017,https://doi.org/10.5281/zenodo.14516700,Simulating risk attitudes and rationality using agent-based modeling,Simulating Risks,Presentation / Poster,Views,108,2026-08-11,ok
o017,https://doi.org/10.5281/zenodo.14516700,Simulating risk attitudes and rationality using agent-based modeling,Simulating Risks,Presentation / Poster,Downloads,169,2026-08-11,ok
o055,https://doi.org/10.5281/zenodo.14516760,Modeling Project Management through Charters,Internal Projects / PM and Process,Presentation / Poster,Views,119,2026-08-11,ok
o050,https://doi.org/10.22148/001c.32551,Shakespeare and Company Project Data Sets,🌐Shakespeare and Company,Publication,Views,3421,2026-08-11,ok
o061,https://doi.org/10.5281/zenodo.3713670,Data Beyond Vision,Internal Projects / PM and Process,Publication,Downloads,1105,2026-08-11,ok
o048,https://doi.org/10.22148/001c.116905,The World of Shakespeare and Company: An Introduction,🌐Shakespeare and Company,Publication,Views,1904,2026-08-11,ok
o049,https://doi.org/10.22148/001c.116926,"""Missing Data, Speculative Reading""",🌐Shakespeare and Company,Publication,Views,2697,2026-08-11,ok
o067,https://doi.org/10.22148/001c.116915,A Counterfactual Canon,🌐Shakespeare and Company,Publication,Views,1915,2026-08-11,ok
o061,https://doi.org/10.5281/zenodo.3713670,Data Beyond Vision,Internal Projects / PM and Process,Publication,Views,696,2026-08-11,ok
