output_id,link,output_name,project,type,metric_type,count,retrieved_date,status
o022,https://doi.org/10.34770/yw3y-ze12,Derrida's Margins web archive,🌐Derrida’s Margins,WebArchive,Views,67,2025-06-30,ok
o022,https://doi.org/10.34770/yw3y-ze12,Derrida's Margins web archive,🌐Derrida’s Margins,WebArchive,Downloads,9,2025-06-30,ok
o023,https://doi.org/10.34770/8nc6-4418,Derrida's Margins datasets: v1.1,🌐Derrida’s Margins,Dataset,Views,8,2025-06-30,ok
o039,https://doi.org/10.5281/zenodo.3359144,CDH Project Charter – Derrida's Margins 2016-17,🌐Derrida’s Margins,Grey Literature,Views,560,2025-06-30,ok
o039,https://doi.org/10.5281/zenodo.3359144,CDH Project Charter – Derrida's Margins 2016-17,🌐Derrida’s Margins,Grey Literature,Downloads,336,2025-06-30,ok
o019,https://doi.org/10.5281/zenodo.7347726,geniza,🌐Geniza,Software Release,Views,213,2025-06-30,ok
o019,https://doi.org/10.5281/zenodo.7347726,geniza,🌐Geniza,Software Release,Downloads,41,2025-06-30,ok
o041,https://derridas-margins.princeton.edu/,Derrida's Margins website,🌐Derrida’s Margins,Website,Active Users,4300,2025-06-30,ok
o034,https://prosody.princeton.edu/,Princeton Prosody Archive Website,🌐Princeton Prosody Archive,Website,Active Users,2300,2025-06-30,ok
o045,https://shakespeareandco.princeton.edu/,Shakespeare and Company Website,🌐Shakespeare and Company,Website,Active Users,9500,2025-06-30,ok
o046,https://geniza.princeton.edu/en/,Princeton Geniza Website,🌐Geniza,Website,Active Users,12000,2025-06-30,ok
o020,https://doi.org/10.5281/zenodo.14888965,annotorious-tahqiq,🌐Geniza,Software Release,Views,186,2025-06-30,ok
o020,https://doi.org/10.5281/zenodo.14888965,annotorious-tahqiq,🌐Geniza,Software Release,Downloads,58,2025-06-30,ok
o043,https://doi.org/10.5281/zenodo.7841822,"""CDH Project Charter – Princeton Geniza Project Year 2, 2021-2022""",🌐Geniza,Grey Literature,Views,160,2025-06-30,ok
o043,https://doi.org/10.5281/zenodo.7841822,"""CDH Project Charter – Princeton Geniza Project Year 2, 2021-2022""",🌐Geniza,Grey Literature,Downloads,113,2025-06-30,ok
o044,https://doi.org/10.5281/zenodo.4081714,CDH Project Charter – Princeton Geniza Project 2020-2021,🌐Geniza,Grey Literature,Views,662,2025-06-30,ok
o044,https://doi.org/10.5281/zenodo.4081714,CDH Project Charter – Princeton Geniza Project 2020-2021,🌐Geniza,Grey Literature,Downloads,559,2025-06-30,ok
o011,https://doi.org/10.5281/zenodo.15312547,corppa,🌐Princeton Prosody Archive,Software Release,Views,12,2025-06-30,ok
o011,https://doi.org/10.5281/zenodo.15312547,corppa,🌐Princeton Prosody Archive,Software Release,Downloads,12,2025-06-30,ok
o032,https://doi.org/10.5281/zenodo.3255052,Princeton Prosody Archive Dataset Generated from T. V. F. Brogan's Original Bibliography,🌐Princeton Prosody Archive,Dataset,Views,612,2025-06-30,ok
o032,https://doi.org/10.5281/zenodo.3255052,Princeton Prosody Archive Dataset Generated from T. V. F. Brogan's Original Bibliography,🌐Princeton Prosody Archive,Dataset,Downloads,207,2025-06-30,ok
o035,https://doi.org/10.5281/zenodo.2400704,ppa-django,🌐Princeton Prosody Archive,Software Release,Views,355,2025-06-30,ok
o035,https://doi.org/10.5281/zenodo.2400704,ppa-django,🌐Princeton Prosody Archive,Software Release,Downloads,54,2025-06-30,ok
o036,https://doi.org/10.5281/zenodo.13850967,Beyond the Walled Gardens: Reinventing the Digital Research Landscape with the Princeton Prosody Archive,🌐Princeton Prosody Archive,Presentation / Poster,Views,115,2025-06-30,ok
o036,https://doi.org/10.5281/zenodo.13850967,Beyond the Walled Gardens: Reinventing the Digital Research Landscape with the Princeton Prosody Archive,🌐Princeton Prosody Archive,Presentation / Poster,Downloads,53,2025-06-30,ok
o037,https://doi.org/10.5281/zenodo.12575879,Working around Walled Gardens: The Princeton Prosody Archive as Workflow,🌐Princeton Prosody Archive,Presentation / Poster,Views,105,2025-06-30,ok
o037,https://doi.org/10.5281/zenodo.12575879,Working around Walled Gardens: The Princeton Prosody Archive as Workflow,🌐Princeton Prosody Archive,Presentation / Poster,Downloads,60,2025-06-30,ok
o038,https://doi.org/10.5281/zenodo.8292322,Elizabeth Barrett Browning's Pathways through the PPA,🌐Princeton Prosody Archive,Publication,Views,50,2025-06-30,ok
o060,https://doi.org/10.5281/zenodo.8292370,Coventry Patmore and the Problem of Excerpts,🌐Princeton Prosody Archive,Publication,Views,63,2025-06-30,ok
o066,https://doi.org/10.5281/zenodo.3359171,CDH Project Charter — Princeton Prosody Archive 2017-18,🌐Princeton Prosody Archive,Grey Literature,Views,686,2025-06-30,ok
o016,https://doi.org/10.5281/zenodo.3834178,mep-django,🌐Shakespeare and Company,Software Release,Views,509,2025-06-30,ok
o021,https://doi.org/10.34770/kf6c-b079,Shakespeare and Company Project Datasets: v2.0,🌐Shakespeare and Company,Dataset,Views,191,2025-06-30,ok
o024,https://doi.org/10.34770/dtqa-2981,"""Shakespeare and Company Project Dataset: Lending Library Members, Books, Events: v1.0""",🌐Shakespeare and Company,Dataset,Views,83,2025-06-30,ok
o025,https://doi.org/10.34770/8c2s-a169,Shakespeare and Company Project Dataset: Lending Library Members: v1.0,🌐Shakespeare and Company,Dataset,Views,71,2025-06-30,ok
