ID,Outputs,Project (from Outputs),Type (from Outputs),Link (from Outputs),Start Date,End Date,Count,Metric Type,DOI Provider,Retrieved Date,Status
89,Citing Marx Project Charter,Marxism’s Marx,Grey Literature,https://doi.org/10.5281/zenodo.14861082,,,250,Downloads,Zenodo,2026-08-11,ok
43,Documents to Data: the evolution of approaches to a library archive,🌐Shakespeare and Company,Presentation / Poster,https://doi.org/10.5281/zenodo.3277319,,,332,Views,Zenodo,2026-08-11,ok
76,Documents to Data: the evolution of approaches to a library archive,🌐Shakespeare and Company,Presentation / Poster,https://doi.org/10.5281/zenodo.3277319,,,224,Downloads,Zenodo,2026-08-11,ok
64,Theorizing risk attitudes and rationality using agent based modeling,Simulating Risks,Presentation / Poster,https://doi.org/10.5281/zenodo.14516240,,,215,Views,Zenodo,2026-08-11,ok
95,Theorizing risk attitudes and rationality using agent based modeling,Simulating Risks,Presentation / Poster,https://doi.org/10.5281/zenodo.14516240,,,321,Downloads,Zenodo,2026-08-11,ok
24,Beyond the Walled Gardens: Reinventing the Digital Research Landscape with the Princeton Prosody Archive,🌐Princeton Prosody Archive,Presentation / Poster,https://doi.org/10.5281/zenodo.13850967,,,261,Views,Zenodo,2026-08-11,ok
26,Working around Walled Gardens: The Princeton Prosody Archive as Workflow,🌐Princeton Prosody Archive,Presentation / Poster,https://doi.org/10.5281/zenodo.12575879,,,230,Views,Zenodo,2026-08-11,ok
85,Modeling Project Management through Charters,Internal Projects / PM and Process,Presentation / Poster,https://doi.org/10.5281/zenodo.14516760,,,559,Downloads,Zenodo,2026-08-11,ok
27,Working around Walled Gardens: The Princeton Prosody Archive as Workflow,🌐Princeton Prosody Archive,Presentation / Poster,https://doi.org/10.5281/zenodo.12575879,,,208,Downloads,Zenodo,2026-08-11,ok
83,Project Management 101,Internal Projects / PM and Process,Presentation / Poster,https://doi.org/10.5281/zenodo.14907039,,,582,Downloads,Zenodo,2026-08-11,ok
25,Beyond the Walled Gardens: Reinventing the Digital Research Landscape with the Princeton Prosody Archive,🌐Princeton Prosody Archive,Presentation / Poster,https://doi.org/10.5281/zenodo.13850967,,,196,Downloads,Zenodo,2026-08-11,ok
50,Project Management 101,Internal Projects / PM and Process,Presentation / Poster,https://doi.org/10.5281/zenodo.14907039,,,195,Views,Zenodo,2026-08-11,ok
63,Simulating risk attitudes and rationality using agent-based modeling,Simulating Risks,Presentation / Poster,https://doi.org/10.5281/zenodo.14516700,,,108,Views,Zenodo,2026-08-11,ok
94,Simulating risk attitudes and rationality using agent-based modeling,Simulating Risks,Presentation / Poster,https://doi.org/10.5281/zenodo.14516700,,,169,Downloads,Zenodo,2026-08-11,ok
52,Modeling Project Management through Charters,Internal Projects / PM and Process,Presentation / Poster,https://doi.org/10.5281/zenodo.14516760,,,119,Views,Zenodo,2026-08-11,ok
40,Shakespeare and Company Project Data Sets,🌐Shakespeare and Company,Publication,https://doi.org/10.22148/001c.32551,,,,Views,CulturalAnalytics,2026-08-11,manual
