ID,Outputs,Project (from Outputs),Type (from Outputs),Link (from Outputs),Start Date,End Date,Count,Metric Type,DOI Provider
24,Beyond the Walled Gardens: Reinventing the Digital Research Landscape with the Princeton Prosody Archive,🌐Princeton Prosody Archive,Presentation / Poster,https://doi.org/10.5281/zenodo.13850967,,,,Views,Zenodo
26,Working around Walled Gardens: The Princeton Prosody Archive as Workflow,🌐Princeton Prosody Archive,Presentation / Poster,https://doi.org/10.5281/zenodo.12575879,,,,Views,Zenodo
85,Modeling Project Management through Charters,Internal Projects / PM and Process,Presentation / Poster,https://doi.org/10.5281/zenodo.14516760,,,,Downloads,Zenodo
27,Working around Walled Gardens: The Princeton Prosody Archive as Workflow,🌐Princeton Prosody Archive,Presentation / Poster,https://doi.org/10.5281/zenodo.12575879,,,,Downloads,Zenodo
83,Project Management 101,Internal Projects / PM and Process,Presentation / Poster,https://doi.org/10.5281/zenodo.14907039,,,,Downloads,Zenodo
25,Beyond the Walled Gardens: Reinventing the Digital Research Landscape with the Princeton Prosody Archive,🌐Princeton Prosody Archive,Presentation / Poster,https://doi.org/10.5281/zenodo.13850967,,,,Downloads,Zenodo
50,Project Management 101,Internal Projects / PM and Process,Presentation / Poster,https://doi.org/10.5281/zenodo.14907039,,,,Views,Zenodo
63,Simulating risk attitudes and rationality using agent-based modeling,Simulating Risks,Presentation / Poster,https://doi.org/10.5281/zenodo.14516700,,,,Views,Zenodo
94,Simulating risk attitudes and rationality using agent-based modeling,Simulating Risks,Presentation / Poster,https://doi.org/10.5281/zenodo.14516700,,,,Downloads,Zenodo
52,Modeling Project Management through Charters,Internal Projects / PM and Process,Presentation / Poster,https://doi.org/10.5281/zenodo.14516760,,,,Views,Zenodo
40,Shakespeare and Company Project Data Sets,🌐Shakespeare and Company,Publication,https://doi.org/10.22148/001c.32551,,,,Views,CulturalAnalytics
87,Data Beyond Vision,Internal Projects / PM and Process,Publication,https://doi.org/10.5281/zenodo.3713670,,,,Downloads,Zenodo
38,The World of Shakespeare and Company: An Introduction,🌐Shakespeare and Company,Publication,https://doi.org/10.22148/001c.116905,,,,Views,CulturalAnalytics
