Task,Status,Assignee,Output Type,Link,Daily time required,Start,Deadline,Completed,Project,Project Status (from Project),Type,Availability,Predecessors,Additional Versions,DOI,DOI Service,Range,Photo (from Assignee),Is Overdue,Is Complete,Description,Order,Access_Metrics,Access_Metrics 2
Coventry Patmore and the Problem of Excerpts,Done,Meredith Martin,Tier 1 Faculty Publication,https://doi.org/10.5281/zenodo.8292370,,,,3/5/2019,🌐Princeton Prosody Archive,"Active Legacy Project,Active Collaboration",Publication,,,,10.5281/zenodo.8292370,Zenodo,#ERROR!,,,Yes,,b1p,,"29,66,166,167"
Poetry's Data,Done,Meredith Martin,Tier 1 Faculty Publication,,,,,4/22/2025,🌐Princeton Prosody Archive,"Active Legacy Project,Active Collaboration",Publication,,,,,,#ERROR!,,,Yes,,b25,,
Princeton Prosody Archive: Rebuilding the Collection and User Interface,Done,"Meredith Martin,Mary Naydan,Meagan Wilson",Tier 1 Faculty Publication,https://doi.org/10.5281/zenodo.17049420,,,,6/26/2018,🌐Princeton Prosody Archive,"Active Legacy Project,Active Collaboration",Presentation / Poster,,,,10.5281/zenodo.17049420,Zenodo,#ERROR!,,,Yes,,b2G,,
Unstable Data and the Unusual Case of the Prosody Excerpt in the Digital Library,Done,"Rebecca Koeser,Mary Naydan",Tier 2 Collaborative Publication,https://doi.org/10.63744/cTWwVSItf41f,,,12/12/2025,11/21/2025,🌐Princeton Prosody Archive,"Active Legacy Project,Active Collaboration",Publication,,,,10.63744/cTWwVSItf41f,,#ERROR!,,,Yes,,b0m,,
Princeton Prosody Archive Dataset Generated from T. V. F. Brogan's Original Bibliography,Done,"Meredith Martin,Meagan Wilson",Tier 2 Collaborative Publication,https://doi.org/10.5281/zenodo.3255052,,,,6/25/2019,🌐Princeton Prosody Archive,"Active Legacy Project,Active Collaboration",Dataset,,,,10.5281/zenodo.3255052,Zenodo,#ERROR!,,,Yes,,b1N,,"20,21,110,111"
Beyond the Walled Gardens: Reinventing the Digital Research Landscape with the Princeton Prosody Archive,Done,"Mary Naydan,Rebecca Koeser,Meredith Martin",Tier 2 Collaborative Publication,https://doi.org/10.5281/zenodo.13850967,,,,8/9/2024,🌐Princeton Prosody Archive,"Active Legacy Project,Active Collaboration",Presentation / Poster,,,,10.5281/zenodo.13850967,Zenodo,#ERROR!,,,Yes,,b1R,,"24,25,145,150"
Working around Walled Gardens: The Princeton Prosody Archive as Workflow,Done,"Mary Naydan,Rebecca Koeser,Meredith Martin",Tier 2 Collaborative Publication,https://doi.org/10.5281/zenodo.12575879,,,,6/27/2024,🌐Princeton Prosody Archive,"Active Legacy Project,Active Collaboration",Presentation / Poster,,,,10.5281/zenodo.12575879,Zenodo,#ERROR!,,,Yes,,b1S,,"26,27,146,148"
CDH Project Charter — Princeton Prosody Archive 2017-18,Done,"Rebecca Koeser,Meredith Martin,Rebecca Munson,Xinyi Li,Meagan Wilson",Tier 2 Collaborative Publication,https://doi.org/10.5281/zenodo.3359171,,,,8/21/2019,🌐Princeton Prosody Archive,"Active Legacy Project,Active Collaboration",Grey Literature,,,,10.5281/zenodo.3359171,Zenodo,#ERROR!,,,Yes,,b1v,,"30,67,125,130"
Unstable Data and the Unusual Case of the Prosody Excerpt in the Digital Library (poster),Done,"Rebecca Koeser,Mary Naydan",Tier 2 Collaborative Publication,https://doi.org/10.5281/zenodo.18187580,,,12/12/2025,11/21/2025,🌐Princeton Prosody Archive,"Active Legacy Project,Active Collaboration",Presentation / Poster,,,,10.5281/zenodo.18187580,,#ERROR!,,,Yes,,b2K,,
corppa,Released,"Rebecca Koeser,Laure Thompson",Tier 2 Collaborative Publication,https://doi.org/10.5281/zenodo.15312547,,,,4/30/2025,🌐Princeton Prosody Archive,"Active Legacy Project,Active Collaboration",Software Release,,,,10.5281/zenodo.15312547,Zenodo,#ERROR!,,Yes,Yes,,b0o,,"18,19,191,192"
Princeton Prosody Archive Website,Released,Rebecca Koeser,Tier 2 Collaborative Publication,https://prosody.princeton.edu/,,,,,🌐Princeton Prosody Archive,"Active Legacy Project,Active Collaboration",Website,,,,https://prosody.princeton.edu/,,#ERROR!,,Yes,Yes,,b1P,,"9,101,103"
ppa-django,Released,Rebecca Koeser,Tier 2 Collaborative Publication,https://doi.org/10.5281/zenodo.2400704,,,,12/18/2018,🌐Princeton Prosody Archive,"Active Legacy Project,Active Collaboration",Software Release,,,,10.5281/zenodo.2400704,Zenodo,#ERROR!,,Yes,Yes,,b1Q,,"22,23,176,184"
 Shakespeare and Company Project Datasets: v2.0,Done,Rebecca Koeser,,https://doi.org/10.34770/kf6c-b079,,,,2/24/2025,🌐Shakespeare and Company,Active Legacy Project,Dataset,,"""Shakespeare and Company Project Dataset: Lending Library Members, Books, Events: v1.0"",Shakespeare and Company Project Dataset: Lending Library Events: v1.0,Shakespeare and Company Project Dataset: Lending Library Books: v1.0,Shakespeare and Company Project Dataset: Lending Library Members: v1.0",,10.34770/kf6c-b079,,#ERROR!,,,Yes,,b0z,,"32,69"
"Shakespeare and Company Project Dataset: Lending Library Members, Books, Events: v1.0",Done,Rebecca Koeser,,https://doi.org/10.34770/dtqa-2981,,,,1/1/2020,🌐Shakespeare and Company,Active Legacy Project,Dataset,,,"- https://doi.org/10.34770/pe9w-x904
- https://doi.org/10.34770/39sq-bm51
- https://doi.org/10.34770/dtqa-2981 ",10.34770/dtqa-2981,,#ERROR!,,,Yes,,b16,,"33,96,114,120"
Shakespeare and Company Project Dataset: Lending Library Members: v1.0,Done,Rebecca Koeser,,https://doi.org/10.34770/8c2s-a169,,,,1/1/2020,🌐Shakespeare and Company,Active Legacy Project,Dataset,,,"- https://doi.org/10.34770/ht30-g395
- https://doi.org/10.34770/nsa4-3t76
- https://doi.org/10.34770/8c2s-a169 ",10.34770/8c2s-a169,,#ERROR!,,,Yes,,b17,,"34,70,115,118"
Shakespeare and Company Project Dataset: Lending Library Events: v1.0,Done,Rebecca Koeser,,https://doi.org/10.34770/nz90-ym25,,,,1/1/2020,🌐Shakespeare and Company,Active Legacy Project,Dataset,,,"- https://doi.org/10.34770/2r93-0t85
- https://doi.org/10.34770/rtbp-kv40
- https://doi.org/10.34770/nz90-ym25",10.34770/nz90-ym25,,#ERROR!,,,Yes,,b18,,"35,71,116,119"
Shakespeare and Company Project Dataset: Lending Library Books: v1.0,Done,Rebecca Koeser,,https://doi.org/10.34770/yj5r-0m59,,,,1/1/2020,🌐Shakespeare and Company,Active Legacy Project,Dataset,,,"- https://doi.org/10.34770/g467-3w07
- https://doi.org/10.34770/079z-h206
- https://doi.org/10.34770/yj5r-0m59",10.34770/yj5r-0m59,,#ERROR!,,,Yes,,b19,,"36,97,113,117"
