output_id,output_name,project,type,status,assignee,link,doi_service,completed_date,availability,description,alt_id,source,zenodo_concept,zotero_key
o168,Derrida's Margins datasets,Derrida's Margins,,Done,"Katie Chenoweth,Rebecca Koeser,Renée Altergott,Alexander Baron-Raiffe,Jean Bauer,Nicholas Budak,Chad Cordova,Austin Hancock,Benjamin Hicks,Kevin McElwee,Chloé Vettier",https://doi.org/10.34770/2EZK-1104,,10/29/2021,,,,zotero,,739VPD8J
o170,"""Built by CDH"" Software Warranty",Digital Humanities Processes and Practices,Publication,Done,"Jean Bauer,Rebecca Koeser",https://doi.org/10.5281/zenodo.3359198,Zenodo,10/25/2018,,,,zotero,,B9ZMZK52
o171,htr2hpc,Princeton Open HTR Initiative,Software Release,Released,"Rebecca Koeser,Christine Roughan",https://github.com/Princeton-CDH/htr2hpc,,10/21/2025,,,,zotero,,BF3W6R6X
o172,Princeton-CDH/corppa: v0.4,Princeton Prosody Archive,Software Release,Released,"Rebecca Koeser,Laure Thompson,Wouter Haverals",https://doi.org/10.5281/zenodo.15312548,Zenodo,4/30/2025,,,,zotero,,FXNC7NCT
o173,Princeton-CDH/djiffy: v0.9.1,Research Software,Software Release,Released,"Rebecca Koeser,meg-codes,Ben Silverman",https://doi.org/10.5281/zenodo.13312276,Zenodo,8/13/2024,,,,zotero,,RSRA682T
o174,Princeton-CDH/django-pucas: v0.9,Research Software,Software Release,Released,"Rebecca Koeser,meg-codes,Kevin McElwee,yorukoglu",https://doi.org/10.5281/zenodo.13905645,Zenodo,10/8/2024,,,,zotero,,W4SQJKC4
o175,Princeton-CDH/annotorious-tahqiq: 1.5.1,Research Software,Software Release,Released,"Ben Silverman,Rebecca Koeser,The Princeton",https://doi.org/10.5281/zenodo.14888965,Zenodo,2/18/2025,,,,zotero,,ZGYG9EYY
o176,Princeton-CDH/piffle: v0.6.1,Research Software,Software Release,Released,"Rebecca Koeser,Graham Hukill,Jay Varner,Klaus Rettinghaus",https://doi.org/10.5281/zenodo.14750659,Zenodo,1/27/2025,,,,zotero,,6IFB87E5
o177,Princeton-CDH/mep-django: v1.7.2,Shakespeare and Company,Software Release,Released,"Rebecca Koeser,Nick Budak,Gissoo Doroudian,Kevin McElwee,Benjamin Hicks,Xinyi Li",https://doi.org/10.5281/zenodo.14889293,Zenodo,2/18/2025,,,,zotero,,ELSJDS2Z
o178,Princeton-CDH/derrida-django: v1.3,Derrida's Margins,Software Release,Released,"Rebecca Koeser,Benjamin Hicks,Kevin Glover,Kevin McElwee,Nick Budak,Xinyi Li,Jean Bauer",https://doi.org/10.5281/ZENODO.5602038,Zenodo,10/25/2021,,,,zotero,,9V93G3WP
o179,Princeton-CDH/mep-django: v1.2,Shakespeare and Company,Software Release,Released,"Rebecca Koeser,Nick Budak,Benjamin Hicks,gissoo,Automated code reviews,xinyil",https://doi.org/10.5281/zenodo.3944796,Zenodo,7/14/2020,,,,zotero,,YWV2PKJ8
o180,Princeton-CDH/mep-django: v1.0,Shakespeare and Company,Software Release,Released,"Rebecca Koeser,Nick Budak,Gissoo Doroudian,Benjamin Hicks,Xinyi Li",https://doi.org/10.5281/zenodo.3834179,Zenodo,5/19/2020,,,,zotero,,52RW82RM
o181,Princeton-CDH/derrida-django: v1.2 Data exports and other improvements and fixes,Derrida's Margins,Software Release,Released,"Rebecca Koeser,Benjamin Hicks,Kevin Glover,Nick Budak,Xinyi Li,Jean Bauer",https://doi.org/10.5281/zenodo.1453447,Zenodo,10/9/2018,,,,zotero,,PQ4H5QXR
o182,Princeton-CDH/ppa-django: v3.0 Initial public release,Princeton Prosody Archive,Software Release,Released,"Rebecca Koeser,Nick Budak,Benjamin Hicks,Gissoo Doroudian",https://doi.org/10.5281/zenodo.2400705,Zenodo,12/18/2018,,,,zotero,,NTF6PJGY
o183,Public Enemies,Staff Projects,Publication,Done,Grant Wythoff,https://reallifemag.com/public-enemies/,,,,,,zotero,,NQIYAZ9G
o184,"Aerophone, Telephot, Hypnobioscope: Hugo Gernsback’s Media Theory",Staff Projects,Publication,Done,Grant Wythoff,http://wi.mobilities.ca/grant-wythoff-aerophone-telephot-hypnobioscope-hugo-gernsbacks-media-theory/,,,,,,zotero,,RP5LYIXA
o185,The Invention of Wireless Cryptography,Staff Projects,Publication,Done,Grant Wythoff,http://theappendix.net/issues/2014/7/the-invention-of-wireless-cryptography,,,,,,zotero,,PCQ7WJVQ
o186,On Method in the Humanities,Staff Projects,Publication,Done,Grant Wythoff,https://doi.org/10.1353/con.2018.0024,,7/11/2018,,,,zotero,,PDWLQUAN
o187,Track Changes: A Literary History of Word Processing by Matthew G. Kirschenbaum (review),Staff Projects,Publication,Done,Grant Wythoff,https://doi.org/10.1353/rhm.2018.0003,,5/31/2018,,,,zotero,,H6EASHXK
o188,Silicon Valley is Ready to Make Your Decisions For You,Staff Projects,Publication,Done,Grant Wythoff,https://www.washingtonpost.com/outlook/silicon-valleys-attempts-to-self-police-are-anti-democratic-theyre-also-not-new/2018/08/17/cd44fb22-9b1d-11e8-843b-36e177f3081c_story.html,,8/19/2018,,,,zotero,,U6IHYBZ4
o189,"Pocket Wireless and the Shape of Media to Come, 1899–1922",Staff Projects,Publication,Done,Grant Wythoff,https://doi.org/10.1162/GREY_a_00106,,,,,,zotero,,F4RVTAL5
o190,Artifactual Interpretation,Staff Projects,Publication,Done,Grant Wythoff,https://doi.org/10.1558/jca.v2i1.27061,,4/24/2015,,,,zotero,,QYLUE256
o191,Sustainable Authorship in Plain Text using Pandoc and Markdown,Staff Projects,Publication,Done,"Dennis Tenen,Grant Wythoff",http://programminghistorian.org/lessons/sustainable-authorship-in-plain-text-using-pandoc-and-markdown,,,,,,zotero,,BBTJCCJ3
o192,Design and DH in the Media Studies Classroom,Staff Projects,Publication,Done,Grant Wythoff,https://www.teachingmedia.org/design-and-dh-in-the-media-studies-classroom/,,,,,,zotero,,E3L6IJYB
o193,The Form of Content Delivery,Staff Projects,Publication,Done,Grant Wythoff,http://mediafieldsjournal.squarespace.com/the-form-of-content-delivery/,,,,,,zotero,,ITKTFQDN
o194,Network Aesthetics by Patrick Jagoda (review),Staff Projects,Publication,Done,Grant Wythoff,https://academic.oup.com/DocumentLibrary/ALH/Online%20Review%20Series%2015/15Grant%20Wythoff.pdf,,,,,,zotero,,ETJ7VQYU
o195,Picturing Rhythm,Princeton Prosody Archive,Publication,Done,"Meredith Martin,BEN GLASER,JONATHAN CULLER,Lazar Fleishman,Haun Saussy",http://www.jstor.org/stable/j.ctv8jp01t.12,,,,,isbn:9780823282043,zotero,,QXGZ5PVL
o196,"""Imperfectly Civilized"": Ballads, Nations, and Histories of Form",Princeton Prosody Archive,Publication,Done,Meredith Martin,https://doi.org/10.1353/elh.2015.0020,,6/11/2015,,,,zotero,,3RT25IJ8
o197,"Response: Women's Poetry, Women's Vision, Women's Power",Princeton Prosody Archive,Publication,Done,Meredith Martin,https://www.jstor.org/stable/10.2979/victorianstudies.61.2.05,,,,,,zotero,,Q53RGQDL
o198,A Committee of the Whole,Staff Projects,Publication,Done,Jim Casey,https://doi.org/https://doi.org/10.31835/crdh.2019.02,,,,,,zotero,,S5I939EX
o199,Spaces and Stories in the Black Public Humanities,Staff Projects,Presentation / Poster,Done,"Jim Casey,Sarah Patterson",https://dhtraining.org/hilt/course/spaces-and-stories-in-the-black-public-humanities/,,,,,,zotero,,RG35QF97
o200,Bridging Digital Humanities Internal and Open Source Software Projects through Reusable Building Blocks,Digital Humanities Processes and Practices,Presentation / Poster,Done,"Rebecca Koeser,Benjamin Hicks",https://dh2018.adho.org/en/bridging-digital-humanities-internal-and-open-source-software-projects-through-reusable-building-blocks/,,6/27/2018,,,,zotero,,C8TXADA9
o201,Princeton-CDH/derrida-django: v1.1,Derrida's Margins,Software Release,Released,"Rebecca Koeser,Benjamin Hicks,Kevin Glover,Nick Budak,Xinyi Li,Jean Bauer",https://doi.org/10.5281/zenodo.1299972,Zenodo,6/28/2018,,,,zotero,,HKEFS55T
