output_id,output_name,project,type,status,assignee,link,doi_service,completed_date,availability,description,alt_id,source,zenodo_concept,zotero_key
o058,lenape-timetree,Lunaapahkiing Princeton Timetree,Software Release,Done,"Rebecca Koeser, Gissoo Doroudian",https://doi.org/10.5281/zenodo.8040362,Zenodo,6/24/2023,,,,zenodo,8040362,
o019,geniza,Princeton Geniza Lab,Software Release,Released,Rebecca Koeser,https://doi.org/10.5281/zenodo.7347725,Zenodo,11/22/2022,,,,zenodo,7347725,
o020,annotorious-tahqiq,Princeton Geniza Lab,Software Release,Released,Rebecca Koeser,https://doi.org/10.5281/zenodo.12796543,Zenodo,10/6/2022,,,,zenodo,12796543,
o043,"CDH Project Charter – Princeton Geniza Project Year 2, 2021-2022",Princeton Geniza Lab,Grey Literature,Done,,https://doi.org/10.5281/zenodo.7841822,Zenodo,10/21/2021,,,,zenodo,7841821,
o044,CDH Project Charter – Princeton Geniza Project 2020-2021,Princeton Geniza Lab,Grey Literature,Done,,https://doi.org/10.5281/zenodo.4081714,Zenodo,10/28/2020,,,,zenodo,,
o046,Princeton Geniza Website,Princeton Geniza Lab,Website,Released,Rebecca Koeser,https://geniza.princeton.edu/en/,,,,,,manual,,
o052,Geniza Datasets,Princeton Geniza Lab,Dataset,Released,"Marina Rustow,Rebecca Koeser,Rachel Richman,Ksenia Ryzhova,Amel Bensalim,Mohamed Abdellatif",https://doi.org/10.5281/zenodo.15839055,,2/20/2026,,,,zenodo,,
o022,Derrida's Margins web archive,Derrida's Margins,WebArchive,Released,Rebecca Koeser,https://doi.org/10.34770/yw3y-ze12,,5/29/2024,,,,manual,,KQCYTAPL
o023,Derrida's Margins datasets: v1.1,Derrida's Margins,Dataset,Done,Rebecca Koeser,https://doi.org/10.34770/8nc6-4418,,1/1/2024,,,,manual,,
o039,CDH Project Charter – Derrida's Margins 2016-17,Derrida's Margins,Grey Literature,Done,"Natalia Ermolaev,Jean Bauer,Katie Chenoweth",https://doi.org/10.5281/zenodo.3359144,Zenodo,6/20/2016,,,,zenodo,,PAKQ83MG
o041,Derrida's Margins website,Derrida's Margins,Website,Released,Rebecca Koeser,https://derridas-margins.princeton.edu/,,,,,,manual,,
o028,Undate Software Paper,Undate,Publication,Done,Rebecca Koeser,,,,,,,manual,,
o040,undate,Undate,Software Release,Released,Rebecca Koeser,https://doi.org/10.5281/zenodo.11068867,Zenodo,4/25/2024,,,,zenodo,,
o087,Undate: computing with uncertain and partially-unknown dates,Undate,Presentation / Poster,Done,Rebecca Koeser,https://doi.org/10.5281/zenodo.17253973,,10/3/2025,,,,zenodo,,XUHZ6HGU
o009,Simulating Risk Project Charter,Simulating Risks,Grey Literature,Done,Rebecca Koeser,https://doi.org/10.5281/zenodo.8087661,Zenodo,7/19/2022,,,,zenodo,8087660,ICZE6U5N
o017,Simulating risk attitudes and rationality using agent-based modeling,Simulating Risks,Presentation / Poster,Done,Rebecca Koeser,https://doi.org/10.5281/zenodo.14516700,Zenodo,8/5/2024,,,,zenodo,14516699,7PWABI8T
o056,Theorizing risk attitudes and rationality using agent based modeling,Simulating Risks,Presentation / Poster,Done,"Rebecca Koeser,Lara Buchak",https://doi.org/10.5281/zenodo.14516240,Zenodo,8/7/2024,,,,zenodo,14516239,AC35PEJD
o018,djiffy,Research Software,Software Release,Released,Rebecca Koeser,https://zenodo.org/records/17633794,Zenodo,2/16/2022,,,,zenodo,13308681,
o054,piffle,Research Software,Software Release,Released,Rebecca Koeser,https://doi.org/10.5281/zenodo.13256210,Zenodo,5/26/2021,,,,zenodo,13256210,
o057,django-pucas,Research Software,Software Release,Released,Rebecca Koeser,https://doi.org/10.5281/zenodo.13905619,Zenodo,1/1/2024,,,,zenodo,13905619,
